date,productName,productId,quantity,unitPrice,totalAmount
2023-05-02,Pen Set,,2,12.99,25.98
2023-05-03,Basic T-Shirt,,3,19.99,59.97
2023-05-04,Denim Jeans,,1,49.99,49.99
2023-05-05,Leather Wallet,,1,29.99,29.99
2023-05-06,Cotton Socks,,4,5.99,23.96
2023-05-07,Baseball Cap,,2,15.99,31.98
2023-05-08,Running Shoes,,1,89.99,89.99
2023-05-09,Hooded Sweatshirt,,2,35.99,71.98
2023-05-10,Smartphone Case,,3,12.99,38.97
2023-05-11,Wireless Earbuds,,1,59.99,59.99
2023-05-12,Backpack,,1,45.99,45.99
2023-05-13,Sunglasses,,2,24.99,49.98
2023-05-14,Watch,,1,129.99,129.99
2023-05-15,Yoga Mat,,1,29.99,29.99
2023-05-16,Water Bottle,,3,14.99,44.97
2023-05-17,Fitness Tracker,,1,79.99,79.99
2023-05-18,Gaming Mouse,,2,49.99,99.98
2023-05-19,Keyboard,,1,65.99,65.99
2023-05-20,Headphones,,1,89.99,89.99
2023-05-21,Laptop Sleeve,,2,19.99,39.98
2023-05-22,Power Bank,,1,29.99,29.99
2023-05-23,USB Cable,,4,9.99,39.96
2023-05-24,Wireless Charger,,1,24.99,24.99
2023-05-25,Desk Lamp,,1,34.99,34.99
2023-05-26,Desk Organizer,,2,18.99,37.98
2023-05-27,Scissors,,3,5.99,17.97
2023-05-28,Tape Dispenser,,2,6.99,13.98
2023-05-29,Paperclips,,5,2.99,14.95
2023-05-30,Binder,,3,8.99,26.97
2023-05-31,Desk Chair,,1,149.99,149.99 
