id,sku,name,description,unitCost,sellingPrice,stockQuantity,category,supplier,location,size,color,material,imageUrl,lastRestockDate
P021,WH-KP100,Kitchen Pot Set,"Set of 3 non-stick cooking pots with glass lids",42.75,89.99,40,Home,KitchenPro,Warehouse E,Standard,Black,Aluminum,https://example.com/images/potset.jpg,2023-11-14
P022,WH-KN200,Kitchen Knife Set,"Professional 5-piece kitchen knife set with block",56.25,119.99,35,Home,CutleryMasters,Warehouse E,Standard,Silver,Stainless Steel,https://example.com/images/knifeset.jpg,2023-11-13
P023,WH-TD300,Bath Towel Set,"Set of 4 soft cotton bath towels",18.50,39.99,60,Home,HomeLinen,Warehouse E,Large,White,Cotton,https://example.com/images/towels.jpg,2023-11-20
P024,WH-BP400,Bed Pillow,"Memory foam bed pillow with cooling cover",21.00,44.99,75,Home,SleepWell,Warehouse E,Queen,White,Memory Foam,https://example.com/images/pillow.jpg,2023-11-22
P025,WH-BL500,Bed Linen Set,"Complete bed sheet set with pillowcases",32.50,64.99,50,Home,HomeLinen,Warehouse E,Queen,Blue,Cotton,https://example.com/images/bedlinen.jpg,2023-11-15
P026,WH-CS600,Coffee Set,"12-piece ceramic coffee mug and saucer set",28.75,59.99,40,Home,TableWare,Warehouse E,Standard,White,Ceramic,https://example.com/images/coffeeset.jpg,2023-11-17
P027,WH-CP700,Cutting Board,"Bamboo cutting board with juice groove",12.25,24.99,85,Home,KitchenPro,Warehouse E,Large,Natural,Bamboo,https://example.com/images/cuttingboard.jpg,2023-11-21
P028,WH-VF800,Vacuum Flask,"Stainless steel vacuum insulated water bottle",14.50,29.99,95,Home,ThermoPro,Warehouse E,20oz,Silver,Stainless Steel,https://example.com/images/flask.jpg,2023-11-19
P029,WH-RL900,Reading Lamp,"Adjustable LED reading lamp with USB charging port",19.75,39.99,70,Home,LightMaster,Warehouse E,Standard,Black,Metal/Plastic,https://example.com/images/lamp.jpg,2023-11-12
P030,WH-DB100,Decorative Basket,"Handwoven decorative storage basket set of 3",24.00,49.99,55,Home,HomeDecor,Warehouse E,Assorted,Natural,Seagrass,https://example.com/images/basket.jpg,2023-11-14
P031,WH-MB100,Messenger Bag,"Canvas messenger bag with padded laptop compartment",28.50,59.99,65,Accessories,BagWorks,Warehouse F,15-inch,Army Green,Canvas,https://example.com/images/messengerbag.jpg,2023-11-16
P032,WH-BP200,Backpack,"Water-resistant backpack with multiple compartments",32.25,64.99,70,Accessories,BagWorks,Warehouse F,Standard,Black,Polyester,https://example.com/images/backpack.jpg,2023-11-18
P033,WH-SG300,Sunglasses,"UV protection polarized sunglasses",16.75,39.99,85,Accessories,ShadeStyle,Warehouse F,One Size,Black,Plastic/Metal,https://example.com/images/sunglasses.jpg,2023-11-23
P034,WH-WL400,Leather Wallet,"Genuine leather bifold wallet with RFID protection",18.50,44.99,90,Accessories,LeatherGoods,Warehouse F,Standard,Brown,Leather,https://example.com/images/wallet.jpg,2023-11-17
P035,WH-SC500,Smartphone Case,"Shock-absorbing smartphone case with card holder",9.25,24.99,110,Accessories,PhoneGear,Warehouse F,iPhone 13,Black,TPU/Polycarbonate,https://example.com/images/phonecase.jpg,2023-11-21
P036,WH-UB600,Umbrella,"Compact automatic umbrella with wind-resistant frame",12.50,27.99,75,Accessories,RainStop,Warehouse F,Compact,Navy,Polyester/Aluminum,https://example.com/images/umbrella.jpg,2023-11-19
P037,WH-KR700,Keyring,"Multi-tool keyring with bottle opener and LED light",6.75,14.99,120,Accessories,GadgetZone,Warehouse F,Standard,Silver,Stainless Steel,https://example.com/images/keyring.jpg,2023-11-22
P038,WH-WB800,Water Bottle,"BPA-free sports water bottle with measurement markings",8.25,18.99,95,Accessories,HydrationPro,Warehouse F,24oz,Blue,Tritan Plastic,https://example.com/images/waterbottle.jpg,2023-11-15
P039,WH-TT900,Travel Toiletry Bag,"Hanging toiletry bag with multiple compartments",14.50,32.99,80,Accessories,TravelGear,Warehouse F,Standard,Gray,Polyester,https://example.com/images/toiletry.jpg,2023-11-20
P040,WH-LT100,Laptop Stand,"Adjustable aluminum laptop stand with cooling ventilation",19.25,39.99,65,Accessories,DeskPro,Warehouse F,Universal,Silver,Aluminum,https://example.com/images/laptopstand.jpg,2023-11-13 
